datetime,MS_pres,MS_temp,R_av,i_av,Therm_temp
2022/3/11 0:30:28,6.11,1274.00,411.598,0.0008,-63.85
2022/3/11 0:33:3,6.13,1274.18,416.238,0.0008,-63.64
2022/3/11 0:35:39,6.12,1275.55,407.744,0.0008,-63.68
2022/3/11 0:38:15,6.12,1275.58,404.862,0.0008,-63.81
2022/3/11 0:40:51,6.12,1275.36,416.114,0.0008,-64.01
2022/3/11 0:43:27,6.12,1275.07,421.970,0.0008,-63.52
2022/3/11 0:46:2,6.13,1274.36,422.140,0.0008,-63.40
2022/3/11 0:48:38,6.12,1274.36,426.040,0.0008,-63.68
2022/3/11 0:51:14,6.12,1275.28,426.376,0.0008,-63.68
2022/3/11 0:53:50,6.12,1275.53,432.542,0.0008,-63.81
2022/3/11 0:56:26,6.12,1275.27,432.847,0.0008,-63.52
2022/3/11 0:59:2,6.12,1275.43,436.883,0.0008,-63.24
2022/3/11 1:1:37,6.12,1275.01,431.969,0.0008,-63.97
2022/3/11 1:4:13,6.12,1275.12,364.859,0.0009,-64.14
2022/3/11 1:6:49,6.12,1275.55,389.922,0.0009,-63.89
2022/3/11 1:9:25,6.13,1275.75,410.090,0.0008,-63.52
2022/3/11 1:12:1,6.12,1276.31,422.025,0.0008,-63.93
2022/3/11 1:14:36,6.13,1275.51,429.332,0.0008,-63.64
2022/3/11 1:17:12,6.13,1275.64,423.969,0.0008,-64.01
2022/3/11 1:19:48,6.13,1274.65,428.311,0.0008,-64.06
2022/3/11 1:22:23,6.14,1274.73,428.532,0.0008,-63.56
2022/3/11 1:24:59,6.14,1274.14,431.101,0.0008,-64.06
2022/3/11 1:27:35,6.14,1274.91,435.704,0.0008,-63.56
2022/3/11 1:30:11,6.14,1275.26,437.264,0.0008,-64.18
2022/3/11 1:32:46,6.15,1274.94,440.224,0.0008,-63.77
2022/3/11 1:35:22,6.15,1275.12,443.010,0.0008,-63.64
2022/3/11 1:37:58,6.15,1274.72,444.478,0.0008,-63.32
2022/3/11 1:40:34,6.16,1275.00,444.511,0.0008,-64.18
2022/3/11 1:43:10,6.16,1274.87,445.295,0.0008,-63.48
2022/3/11 1:45:45,6.17,1274.67,446.292,0.0008,-63.72
2022/3/11 1:48:21,6.18,1273.93,450.646,0.0008,-63.85
2022/3/11 1:50:57,6.18,1273.77,447.552,0.0008,-64.01
2022/3/11 1:53:33,6.19,1273.52,460.727,0.0008,-64.06
2022/3/11 1:56:9,6.20,1272.88,461.403,0.0008,-64.35
2022/3/11 1:58:45,6.20,1272.67,459.935,0.0008,-63.08
2022/3/11 2:1:20,6.21,1272.54,462.486,0.0008,-64.27
2022/3/11 2:3:56,6.21,1272.52,466.030,0.0008,-64.06
2022/3/11 2:6:32,6.23,1272.47,461.022,0.0008,-64.23
2022/3/11 2:9:8,6.23,1271.53,460.079,0.0008,-64.06
2022/3/11 2:11:44,6.23,1271.12,458.289,0.0008,-63.40
